Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Switzerland,CHE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,10218997736,11665105736,14087057759,19117667815,23175594502,25656377213,28703376740,33446300187,44774761745,50672878090,56172585904,53581992312,50403111363,48724852461,51113594289,52332532620,68986425427,80965279037,90152024192,92156315545,1.08671E+11,1.05738E+11,1.12563E+11,1.09518E+11,1.19117E+11,1.39383E+11,1.37783E+11,1.35356E+11,1.37791E+11,1.37455E+11,1.4179E+11,1.41794E+11,1.47504E+11,1.69782E+11,2.0288E+11,2.19836E+11,2.43432E+11,2.94204E+11,3.47371E+11,3.09907E+11,3.73421E+11,4.57983E+11,4.47814E+11,4.95206E+11,4.55818E+11,4.22965E+11,4.41347E+11,4.4219E+11,4.66305E+11,4.6427E+11,
Channel Islands,CHI,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,536608944.1,525717060.8,614812442.9,697065976.8,732786384.7,800181243.4,1014234414,985193067.1,981819346,1347031542,1310155209,1179623639,1133195225,2239538316,3166342379,1837931193,2476026427,2754528077,3169044747,4824713525,6292627054,5363825291,4713939511,4767971203,4474125375,4647193726,5161066967,6308060063,8456167150,10071482715,10760217715,11842675066,13312092910,12758599162,15656361049,21025141439,20794067520,22487271964,20819483697,21624592265,23772266321,22996523020,22876417337,26973735771,39488088029,49382442844,67789580749,78242480555,74413752041,63854403850,82487244655,95255289952,91147100657,89638293156,86267287016,71654520806,70495462057,78790199945,85257763803,79613395186,
China,CHN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2571289301,1937606629,1913234219,2031034203,2250385896,2563165164,2680965147,2388496222,2339751401,2429116906,2307254854,2782516858,3692485858,5876143561,7107893127,7688998817,6943442876,7519646894,6813008130,9204347826,11300000000,14587301587,22600124795,21956304449,24764305081,25801403274,26202580690,34072853910,44923701330,41190793490,49129758920,55542659170,66847400129,74280328750,1.04607E+11,1.31859E+11,1.54812E+11,1.87447E+11,1.8875E+11,1.98699E+11,2.53092E+11,2.7206E+11,3.33002E+11,4.47958E+11,6.07357E+11,7.73339E+11,9.91731E+11,1.25806E+12,1.49787E+12,1.26266E+12,1.65482E+12,2.0063E+12,2.17508E+12,2.35425E+12,2.46284E+12,2.36209E+12,2.19997E+12,2.4242E+12,2.65559E+12,2.64127E+12,
Cote d'Ivoire,CIV,Exports of goods and services (current US$),NE.EXP.GNFS.CD,187017625.6,218194462.1,221930221.9,258264752.5,330533040.4,338691189.4,372845096.3,392274949,521479828.1,500460465.2,520616448.6,510247597.6,619773363.3,896858189.6,1402963862,1430151941,1946009762,2670550446,2885366742,3163759568,3561631199,2966163294,2756185695,2527383751,3100078388,3263789748,3617154651,3372301472,3126609547,3125624092,3421191368,3149019076,3558855924,3252142526,3369268837,4593584282,4989346356,5030669759,5220928218,5247990455,4370512052,4555378742,5860137948,6412152575,7682091175,8525099433,9321895748,9607481678,11413826500,12346184123,12611974309,13678275118,13107575012,12988036435,13888904529,12532872743,11796835872,12855832026,13043560451,13822834437,
Cameroon,CMR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,193434683.3,179141516.1,192656351,232978068.8,269474960.8,304035800,284042012.6,291797729.3,363946226.8,573755351.3,624464986.4,696620421.4,843610400.5,1043175451,1224968083,1879642995,1669843815,2432257587,2243906920,2611952656,2725480658,2472751280,2053806128,2003045527,2306775346,2250713452,2486734793,2341602555,2157027779,2235509632,1990231974,2445458047,2695377807,2393027329,2245087608,2612567707,2679888438,2813421457,3044751073,3958470638,4413882091,4962622165,6460297271,7674073978,5568685496,5802300067,7617662949,7601120582,8273049826,8725705929,6884615105,6280435082,6506092154,7473267002,6417658996,
"Congo, Dem. Rep.",COD,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316878620,1607380674,1731595952,1142032617,1851630127,1113537727,2185507246,891666666.7,1367800838,2145055691,2340567899,2745153231,3136077075,6539494271,7723022252,5000335250,8865916412,10210736241,9027202464,11910414647,13226085525,10512898981,8896176893,13401989662,16080742573,15173271456,
"Congo, Rep.",COG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,26943546.43,29515424.45,50771655.42,62818525.2,70846987.31,71410810.77,65939853.03,72357447.74,76343640.58,85012891.11,95512627.98,104954866,116257095.7,171385616.3,311584817.8,275298406.7,304665659.8,348827333.7,384211648.3,568348371,1023762094,1156656681,1194134307,1215274929,1351850301,1227120964,736631970.1,958951542.2,898779925.8,1159530945,1449116806,1134481581,1193589830,822017114.2,1035379942,1369151278,1739316246,1755897500,1487018126,1701642897,2585496315,2163316674,2461790946,2825094282,3743531240,5122710670,6506604610,6592305407,8912225916,6755575077,10231039444,12607608808,11458050758,10783313046,10361434656,5927629646,6009821709,8202424944,11408904526,8380302597,
Colombia,COL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,632672494.3,589865537.3,605741204.4,579510844.4,714265144.4,699047619,541851851.9,653146477.1,701707004.2,808812068.1,955259648,935820962.9,1149373248,1539558029,1798616360,2071845445,2615131863,3283905564,3867783604,4251544715,5416924889,4312469260,4252517718,4050952668,4546303965,4818142149,6582202894,6165155373,6386221631,7118228011,9024672480,9389847563,9649972063,10089611943,12254186688,13444770139,14767813599,15829917577,14773797430,15812211475,15897088339,15111975539,14513776908,15687092397,19635451059,24713096944,28652691910,33882152043,43859076074,38170172446,46826831270,64565473515,69774770559,69111201874,63397043406,45930515099,41623750984,47235694654,53017149752,51465444422,
Comoros,COM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,18752561.79,17348160.36,16259717.26,16931592.38,16319833.03,17384173.77,24669148.12,29823580.69,31499531.47,30175018.87,37963362.56,37475474.51,40417152.77,40016216.97,28203731.61,35209696.84,34997132.88,32203525.73,32703609.92,33793543.43,30950452.5,33417051.79,37462117.98,48215131.66,55894065.27,57752590.8,61659830.31,71320012.81,74976008.93,83966816.5,87519203.27,101862710.8,90876019.44,101000284.3,111239529.3,97918670.09,108098877.2,128229503.8,156131476.7,,
Cabo Verde,CPV,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,24288324.3,29942601.56,32243019.35,34103853.2,30064775.4,31179559.04,33573415.15,42578568.1,44159711.38,51418167.41,52576490.8,52976389.2,61728160.19,65033421.61,61175342.83,83482492.55,101395543.1,134631485.1,118975529.2,124265005.5,145630289.3,167834263,202095934.4,255294474.1,295820489.5,367187288.2,500015668.8,545279858.9,660191834.3,531989156.8,543735621.9,662759015.6,704245132.6,749300524.2,750676237,717082167.8,735539143.4,812736072.8,968366816,1008054464,
